iter	RMSE
0	0.5021330475
1	0.4716815824
2	0.4433312175
3	0.4173965602
4	0.3951071363
5	0.3759903325
6	0.3576322138
7	0.3420595176
8	0.3302460723
9	0.3179868372
10	0.3069516308
11	0.2966227436
12	0.2890156106
13	0.2816485995
14	0.274746059
15	0.2689437998
16	0.2630338062
17	0.2580722157
18	0.2533298579
19	0.2492334242
20	0.2451763048
21	0.2414388306
22	0.2378929176
23	0.2356130169
24	0.2331125005
25	0.2302462591
26	0.2274372844
27	0.2246905778
28	0.2224691642
29	0.2198389634
30	0.2181571809
31	0.2163101856
32	0.2141971867
33	0.2124774317
34	0.2108051211
35	0.2091099532
36	0.2074526674
37	0.2058059273
38	0.2042421603
39	0.2024516563
40	0.2011479515
41	0.1997881257
42	0.1978906688
43	0.1966163619
44	0.1956106632
45	0.1946212164
46	0.1934313643
47	0.1923220417
48	0.1908614302
49	0.1898250402
50	0.1886246221
51	0.1874388708
52	0.1861373791
53	0.1850412216
54	0.1841284848
55	0.1831933201
56	0.1823020253
57	0.1814919521
58	0.1805930967
59	0.1798314998
60	0.1790654295
61	0.178222774
62	0.1774063366
63	0.1763290186
64	0.1754224434
65	0.1740338266
66	0.1730945334
67	0.1723285559
68	0.1715416473
69	0.1705147874
70	0.1695173167
71	0.1686154174
72	0.1678247159
73	0.1670179488
74	0.1663157473
75	0.1654867172
76	0.1645577069
77	0.16373255
78	0.1630590996
79	0.1622755367
80	0.1615449612
81	0.1606771633
82	0.1599101337
83	0.159289013
84	0.1586194761
85	0.1580383451
86	0.1571435479
87	0.1564129441
88	0.1557133064
89	0.1550348742
90	0.1544468737
91	0.1538100104
92	0.1530739408
93	0.1523280966
94	0.1515248707
95	0.1508392608
96	0.150238666
97	0.1496108081
98	0.148768006
99	0.1481633694
