iter	Passed	Remaining
0	5	569
1	9	485
2	14	471
3	19	470
4	25	475
5	30	477
6	36	479
7	41	478
8	47	476
9	52	475
10	58	471
11	63	464
12	68	461
13	74	456
14	80	453
15	85	448
16	90	442
17	96	438
18	101	434
19	107	428
20	113	428
21	119	424
22	127	427
23	134	425
24	141	424
25	147	421
26	156	422
27	162	418
28	168	412
29	175	408
30	182	405
31	187	399
32	193	392
33	198	384
34	202	376
35	209	372
36	219	374
37	226	370
38	233	364
39	239	359
40	246	355
41	253	349
42	259	344
43	266	339
44	273	334
45	280	329
46	287	323
47	293	318
48	300	312
49	307	307
50	313	301
51	320	296
52	327	290
53	333	284
54	340	278
55	347	272
56	353	266
57	360	260
58	366	254
59	372	248
60	378	242
61	384	235
62	390	229
63	396	222
64	402	216
65	407	210
66	413	203
67	418	196
68	423	190
69	428	183
70	433	177
71	439	170
72	444	164
73	450	158
74	455	151
75	461	145
76	466	139
77	472	133
78	477	127
79	482	120
80	488	114
81	493	108
82	498	102
83	504	96
84	509	89
85	513	83
86	518	77
87	523	71
88	541	66
89	546	60
90	550	54
91	554	48
92	559	42
93	564	36
94	568	29
95	573	23
96	577	17
97	582	11
98	586	5
99	592	0
