iter	RMSE
0	624739.9351
1	605525.0173
2	587885.7024
3	567472.5935
4	546834.9167
5	538135.4612
6	519444.5184
7	509743.1284
8	494658.6699
9	483972.7424
10	476465.4107
11	462526.3418
12	452667.8275
13	438844.9592
14	423155.051
15	413605.8703
16	403772.835
17	394305.8888
18	382312.8353
19	374061.9173
20	367422.4569
21	361981.1056
22	355918.2063
23	345681.8602
24	338722.4846
25	334273.0891
26	327208.2824
27	321762.7619
28	316786.2656
29	311234.0733
30	305899.8025
31	300863.2882
32	294788.0516
33	289973.6412
34	286658.059
35	283663.3559
36	276828.2233
37	267671.3876
38	262610.3573
39	260387.3509
40	256353.7865
41	251626.5366
42	247933.0036
43	243471.6542
44	240405.414
45	236783.0567
46	234133.9793
47	230136.8833
48	224674.6047
49	219843.0971
50	216428.692
51	213225.0267
52	210459.1243
53	206697.3981
54	203777.2074
55	199855.5429
56	196193.3223
57	189705.4549
58	187306.9962
59	184890.5403
60	179608.8456
61	177227.9612
62	174956.8102
63	171940.8001
64	170248.1864
65	167727.8956
66	165249.7759
67	163149.1722
68	161196.4228
69	158612.6622
70	153483.1941
71	151524.6657
72	149561.8706
73	148046.6399
74	146543.2261
75	144961.6004
76	140344.6956
77	138887.0562
78	137585.9731
79	133547.2164
80	132356.5259
81	128817.0004
82	127659.3346
83	124463.25
84	123376.1328
85	122322.9598
86	118904.6105
87	115608.6805
88	114183.3169
89	111374.6765
90	110445.4082
91	107937.233
92	107068.5663
93	105661.9401
94	103650.817
95	102831.735
96	102053.0965
97	100279.6341
98	98262.39937
99	97532.75308
