iter	Passed	Remaining
0	1	139
1	2	123
2	3	121
3	4	112
4	5	104
5	6	102
6	7	100
7	8	96
8	9	93
9	10	91
10	11	89
11	11	87
12	13	89
13	14	90
14	16	96
15	18	95
16	19	94
17	20	92
18	21	91
19	22	89
20	23	87
21	24	85
22	24	83
23	25	82
24	27	82
25	28	81
26	29	80
27	30	79
28	31	78
29	32	76
30	33	74
31	34	73
32	35	72
33	36	70
34	37	68
35	38	67
36	38	66
37	39	65
38	41	65
39	42	64
40	43	63
41	45	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	44
59	66	44
60	67	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	80	29
73	81	28
74	83	27
75	85	26
76	86	25
77	87	24
78	89	23
79	90	22
80	92	21
81	93	20
82	95	19
83	97	18
84	98	17
85	100	16
86	101	15
87	103	14
88	105	13
89	106	11
90	108	10
91	110	9
92	112	8
93	114	7
94	115	6
95	116	4
96	118	3
97	120	2
98	121	1
99	123	0
